gefundene Knoten:  <3> 
run,avg,min,max,mdev,loss,received,error,dup,pipe,0,0
1,'36.754','34.419','39.498','1.533',NULL,1,9,0,0,0,0,0
2,'39.473','36.491','43.713','2.408',NULL,0,10,0,0,0,0,0
3,'37.798','33.019','41.383','2.845',NULL,0,10,0,0,0,0,0
4,'38.676','34.969','41.064','2.087',NULL,0,10,0,0,0,0,0
5,'37.609','34.744','40.607','1.668',NULL,0,10,0,0,0,0,0
6,'37.818','34.378','42.446','2.913',NULL,0,10,0,0,0,0,0
7,'37.244','31.963','41.763','2.910',NULL,0,10,0,0,0,0,0
8,'38.305','36.662','40.986','1.349',NULL,0,10,0,0,0,0,0
9,'37.317','34.952','38.983','1.239',NULL,0,10,0,0,0,0,0
10,'37.933','35.846','41.732','1.815',NULL,0,10,0,0,0,0,0
11,'38.375','34.008','41.387','2.344',NULL,0,10,0,0,0,0,0
12,'38.338','35.744','42.215','2.323',NULL,0,10,0,0,0,0,0
13,'38.494','34.966','42.005','2.246',NULL,0,10,0,0,0,0,0
14,'38.094','32.951','40.757','2.299',NULL,0,10,0,0,0,0,0
15,'38.164','34.973','41.653','2.349',NULL,0,10,0,0,0,0,0
16,'37.321','34.589','42.166','2.156',NULL,0,10,0,0,0,0,0
17,'39.754','33.824','55.002','5.702',NULL,0,10,0,0,0,0,0
18,'38.242','36.602','40.449','1.296',NULL,0,10,0,0,0,0,0
19,'37.456','33.359','42.071','2.482',NULL,0,10,0,0,0,0,0
20,'39.157','35.679','42.247','2.275',NULL,0,10,0,0,0,0,0
21,'38.258','35.533','42.788','2.287',NULL,0,10,0,0,0,0,0
22,'38.326','33.598','43.266','2.701',NULL,0,10,0,0,0,0,0
23,'37.218','33.643','41.080','2.268',NULL,0,10,0,0,0,0,0
24,'38.832','35.483','41.171','1.931',NULL,0,10,0,0,0,0,0
25,'39.386','36.936','43.247','1.988',NULL,0,10,0,0,0,0,0
26,'38.909','36.681','41.136','1.232',NULL,0,10,0,0,0,0,0
27,'38.233','34.931','40.605','1.597',NULL,0,10,0,0,0,0,0
28,'37.583','34.548','40.663','1.730',NULL,0,10,0,0,0,0,0
29,'37.779','35.358','40.884','1.654',NULL,0,10,0,0,0,0,0
30,'37.780','34.091','43.230','3.049',NULL,0,10,0,0,0,0,0
31,'39.941','37.243','43.010','1.467',NULL,0,10,0,0,0,0,0
32,'38.882','36.763','41.069','1.616',NULL,0,10,0,0,0,0,0
33,'36.997','34.662','40.402','1.490',NULL,0,10,0,0,0,0,0
34,'36.822','33.140','40.418','2.193',NULL,0,10,0,0,0,0,0
35,'36.906','33.060','40.014','2.412',NULL,0,10,0,0,0,0,0
36,'38.900','36.586','40.918','1.342',NULL,0,10,0,0,0,0,0
37,'38.897','35.135','41.261','2.021',NULL,0,10,0,0,0,0,0
38,'38.638','34.128','42.018','2.193',NULL,0,10,0,0,0,0,0
39,'37.217','34.808','39.385','1.635',NULL,0,10,0,0,0,0,0
40,'36.702','34.222','38.361','1.425',NULL,0,10,0,0,0,0,0
41,'36.942','33.767','41.010','2.425',NULL,1,9,0,0,0,0,0
42,'37.096','34.124','39.951','1.903',NULL,0,10,0,0,0,0,0
43,'39.188','32.959','43.168','2.743',NULL,0,10,0,0,0,0,0
44,'39.428','37.642','42.034','1.457',NULL,0,10,0,0,0,0,0
45,'38.236','35.743','42.326','2.107',NULL,0,10,0,0,0,0,0
46,'38.804','35.797','40.927','1.446',NULL,0,10,0,0,0,0,0
47,'37.678','35.525','41.126','2.254',NULL,0,10,0,0,0,0,0
48,'37.724','34.058','40.704','1.743',NULL,0,10,0,0,0,0,0
49,'38.048','33.397','41.917','3.130',NULL,0,10,0,0,0,0,0
50,'38.547','36.738','41.575','1.430',NULL,0,10,0,0,0,0,0
51,'38.595','36.419','41.350','1.572',NULL,0,10,0,0,0,0,0
52,'37.677','34.959','41.980','2.478',NULL,0,10,0,0,0,0,0
53,'37.292','33.981','40.846','2.233',NULL,0,10,0,0,0,0,0
54,'37.921','35.798','41.311','1.961',NULL,0,10,0,0,0,0,0
55,'37.699','34.269','41.333','2.236',NULL,0,10,0,0,0,0,0
56,'37.932','33.051','41.234','2.551',NULL,0,10,0,0,0,0,0
57,'37.547','35.735','41.727','1.729',NULL,0,10,0,0,0,0,0
58,'37.574','34.240','40.763','1.957',NULL,0,10,0,0,0,0,0
59,'37.429','34.964','40.570','1.954',NULL,0,10,0,0,0,0,0
60,'37.283','33.622','39.716','1.916',NULL,0,10,0,0,0,0,0
61,'37.098','34.984','39.204','1.549',NULL,3,7,0,0,0,0,0
62,'37.168','34.278','43.117','2.428',NULL,0,10,0,0,0,0,0
